

     Summary: group layer ops

group_layer,group_conv_ops,ic,ih,iw,iact_size,oc,oh,ow,oact_size
Conv2d_1,Conv2d_1.G_swap_23,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_24,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_24,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_24,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_25,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_25,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_25,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_26,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_26,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_26,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_27,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_27,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_27,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_0,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_0,LayerType.Conv2d,5963776,1,1,64,32,1,14,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_0,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_0,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_0,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,PartSlice_G_EXPAND_1,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_2.G_IR_1,LayerType.Conv2d,6389760,1,1,64,32,1,15,208,r * s * c * (k // g) * h * w
Shortcut_0,Conv2d_3.G_swap_1,LayerType.Conv2d,49840128,3,3,32,64,1,13,208,r * s * c * (k // g) * h * w
Shortcut_0,Shortcut_0.G_swap_1,LayerType.Add,0,,,,,,13,208,
Shortcut_0,PartSlice_G_SQUEZZE_1,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
